neighbourhood_cleansed,price,listing_count,distance_km,number_of_reviews,price_score,location_score,demand_score,investment_score
Can Baró,122.60526315789474,38,2.2739473684210525,69.86842105263158,46.9,73.6,75.6,63.5
Can Peguera,48.0,1,4.66,43.0,18.4,45.8,46.5,35.0
Canyelles,174.0,1,5.81,56.0,66.5,32.4,60.6,54.5
Ciutat Meridiana,49.0,2,8.600000000000001,1.5,18.7,0.0,1.6,8.0
Diagonal Mar i el Front Marítim del Poblenou,261.515625,128,4.175234375,74.9765625,100.0,51.5,81.1,79.8
Horta,69.76923076923077,13,4.796153846153846,52.84615384615385,26.7,44.2,57.2,41.1
Hostafrancs,208.29032258064515,155,5.400322580645161,91.87741935483871,79.6,37.2,99.4,72.8
Montbau,72.5,2,5.59,10.0,27.7,35.0,10.8,24.8
Navas,179.11320754716982,53,2.531132075471698,41.58490566037736,68.5,70.6,45.0,62.1
Pedralbes,174.48,25,6.443200000000001,43.2,66.7,25.1,46.7,48.2
Porta,97.3103448275862,29,4.731379310344828,23.586206896551722,37.2,45.0,25.5,36.0
Provençals del Poblenou,132.01234567901236,81,3.4085185185185183,55.49382716049383,50.5,60.4,60.0,56.3
Sant Andreu,103.17333333333333,75,4.9858666666666664,21.373333333333335,39.5,42.0,23.1,35.3
Sant Antoni,219.02801461632157,821,3.891875761266748,77.73447015834348,83.8,54.7,84.1,75.2
Sant Genís dels Agudells,64.0,4,5.3025,17.0,24.5,38.3,18.4,26.8
Sant Gervasi - Galvany,154.6319018404908,489,3.3438445807770965,27.2719836400818,59.1,61.1,29.5,50.8
Sant Gervasi - la Bonanova,139.2875,80,4.341,22.75,53.3,49.5,24.6,43.6
Sant Martí de Provençals,73.24489795918367,49,3.230204081632653,38.42857142857143,28.0,62.4,41.6,42.4
"Sant Pere, Santa Caterina i la Ribera",153.83098591549296,994,2.6739134808853118,37.31991951710262,58.8,68.9,40.4,56.3
Sants,172.48601398601397,286,5.879755244755245,76.9090909090909,66.0,31.6,83.2,60.8
Sants - Badal,98.71052631578948,152,6.808552631578948,32.1578947368421,37.7,20.8,34.8,31.8
Sarrià,140.18055555555554,72,5.910416666666666,20.680555555555557,53.6,31.3,22.4,37.6
Torre Baró,137.0,2,7.875,13.5,52.4,8.4,14.6,27.9
Vallcarca i els Penitents,143.43835616438355,73,3.5098630136986304,56.863013698630134,54.8,59.2,61.5,58.1
"Vallvidrera, el Tibidabo i les Planes",139.84,25,8.0668,35.92,53.5,6.2,38.9,34.9
Verdun,67.0,10,5.739,23.9,25.6,33.3,25.9,28.0
Vilapicina i la Torre Llobeta,171.4788732394366,71,3.8115492957746477,15.943661971830986,65.6,55.7,17.2,48.1
el Baix Guinardó,143.71074380165288,121,1.2903305785123966,47.586776859504134,55.0,85.0,51.5,63.0
el Barri Gòtic,164.72107438016528,968,3.2100619834710744,44.59400826446281,63.0,62.7,48.2,58.5
el Besòs i el Maresme,138.70652173913044,92,4.886086956521739,28.08695652173913,53.0,43.2,30.4,43.3
el Bon Pastor,116.0,6,5.783333333333334,33.333333333333336,44.4,32.8,36.1,38.4
el Camp d'en Grassot i Gràcia Nova,144.29113924050634,237,0.9843459915611814,92.43037974683544,55.2,88.6,100.0,78.7
el Camp de l'Arpa del Clot,248.796875,256,1.376953125,56.59765625,95.1,84.0,61.2,81.6
el Carmel,101.76315789473684,76,3.4751315789473685,31.210526315789473,38.9,59.6,33.8,43.6
el Clot,100.70886075949367,79,1.779367088607595,59.25316455696203,38.5,79.3,64.1,58.4
el Coll,129.55882352941177,34,3.611764705882353,23.029411764705884,49.5,58.0,24.9,44.7
el Congrés i els Indians,93.60526315789474,38,3.0357894736842104,37.05263157894737,35.8,64.7,40.1,45.8
el Fort Pienc,178.73246753246752,385,1.1253506493506493,80.84155844155845,68.3,86.9,87.5,79.6
el Guinardó,112.48514851485149,101,2.304950495049505,63.92079207920792,43.0,73.2,69.2,59.9
el Parc i la Llacuna del Poblenou,181.92073170731706,164,2.1546341463414636,90.98170731707317,69.6,74.9,98.4,79.8
el Poble Sec,193.058908045977,696,4.6858477011494255,87.01436781609195,73.8,45.5,94.1,71.4
el Poblenou,178.74452554744525,411,3.266301703163017,68.58394160583941,68.3,62.0,74.2,68.2
el Putxet i el Farró,137.14349775784754,223,3.3131838565022425,42.18385650224215,52.4,61.5,45.6,53.1
el Raval,129.0956678700361,1108,3.5168050541516243,40.911552346570396,49.4,59.1,44.3,50.8
el Turó de la Peira,38.869565217391305,23,4.196521739130435,36.56521739130435,14.9,51.2,39.6,33.2
l'Antiga Esquerra de l'Eixample,186.58756345177665,788,3.002296954314721,69.17005076142132,71.3,65.1,74.8,70.5
la Barceloneta,110.60846560846561,378,3.972195767195767,23.46031746031746,42.3,53.8,25.4,40.7
la Bordeta,104.97058823529412,68,6.429705882352941,50.85294117647059,40.1,25.2,55.0,40.1
la Clota,215.0,4,4.43,0.75,82.2,48.5,0.8,47.7
la Dreta de l'Eixample,248.5280783101494,1941,1.736780010303967,81.4672849046883,95.0,79.8,88.1,88.4
la Font d'en Fargues,118.62962962962963,27,3.4285185185185183,4.851851851851852,45.4,60.1,5.2,37.8
la Font de la Guatlla,130.17241379310346,87,5.868620689655172,67.17241379310344,49.8,31.8,72.7,51.3
la Guineueta,61.22222222222222,9,5.088888888888889,43.111111111111114,23.4,40.8,46.6,35.6
la Marina de Port,55.025,40,7.507000000000001,27.6,21.0,12.7,29.9,21.2
la Marina del Prat Vermell,125.625,8,7.805,23.125,48.0,9.2,25.0,29.5
la Maternitat i Sant Ramon,166.9102564102564,78,6.769102564102564,80.57692307692308,63.8,21.3,87.2,58.1
la Nova Esquerra de l'Eixample,246.7981220657277,639,4.23001564945227,55.74804381846636,94.4,50.8,60.3,71.1
la Prosperitat,62.208333333333336,24,5.760000000000001,29.416666666666668,23.8,33.0,31.8,29.0
la Sagrada Família,190.75620767494357,886,0.5302257336343115,87.06997742663657,72.9,93.8,94.2,85.6
la Sagrera,104.22448979591837,49,3.329183673469388,38.265306122448976,39.9,61.3,41.4,46.8
la Salut,133.09230769230768,65,2.636153846153846,59.50769230769231,50.9,69.3,64.4,60.5
la Teixonera,68.1875,16,4.18875,54.9375,26.1,51.3,59.4,43.6
la Trinitat Nova,47.666666666666664,3,6.75,0.6666666666666666,18.2,21.5,0.7,13.9
la Trinitat Vella,53.5,6,7.425,7.833333333333333,20.5,13.7,8.5,14.9
la Vall d'Hebron,86.33333333333333,6,4.71,33.5,33.0,45.2,36.2,37.6
la Verneda i la Pau,85.5,42,4.348333333333334,28.785714285714285,32.7,49.4,31.1,37.2
la Vila Olímpica del Poblenou,229.32835820895522,134,2.8623880597014923,59.24626865671642,87.7,66.7,64.1,74.3
la Vila de Gràcia,166.9159574468085,940,1.9749148936170213,80.7468085106383,63.8,77.0,87.4,74.8
les Corts,169.76255707762556,219,5.054200913242009,49.2648401826484,64.9,41.2,53.3,54.3
les Roquetes,71.27272727272727,11,6.537272727272727,37.0,27.3,24.0,40.0,30.1
les Tres Torres,144.1818181818182,44,5.0015909090909085,40.47727272727273,55.1,41.8,43.8,47.7
