cluster_id,center_lat,center_lon,listing_count,avg_price,max_price,total_value,tier
38,40.77557678888888,-73.98864397777776,9,701.8888888888889,976.0,6317.0,Premium
32,40.74461903745301,-73.95677697245537,19,523.3157894736842,823.0,9943.0,Premium
0,40.74418243171761,-73.98668516342454,4009,417.56747318533303,999.0,1674028.0,Premium
27,40.68816032834248,-73.9633304948447,4,410.5,650.0,1642.0,Premium
9,40.7767562,-73.97769458333333,12,407.75,628.0,4893.0,Premium
7,40.78713140550056,-73.97469983610594,322,404.35093167701865,950.0,130201.0,Premium
24,40.69423914218097,-73.9465328657912,10,397.9,602.0,3979.0,Premium
21,40.74646916104335,-73.94664278644834,10,396.7,680.0,3967.0,Premium
5,40.677803717835225,-73.98025376661874,73,395.64383561643837,855.0,28882.0,Premium
25,40.670339272706244,-73.94155741889509,13,389.15384615384613,734.0,5059.0,Premium
3,40.68495382554145,-73.99070505047473,64,382.125,980.0,24456.0,Premium
31,40.687837346415904,-73.98113517037075,17,374.94117647058823,890.0,6374.0,Premium
15,40.693552516906735,-73.96787980635756,9,371.8888888888889,803.0,3347.0,Premium
13,40.67083882488943,-73.94850797473596,19,369.94736842105266,887.0,7029.0,Premium
8,40.703600260370386,-73.89887601477844,12,367.5,750.0,4410.0,Premium
33,40.67388805042057,-73.93133255039771,11,366.09090909090907,846.0,4027.0,Premium
1,40.71476525682215,-73.9552047157439,315,362.8285714285714,950.0,114291.0,Premium
12,40.68277369351861,-73.96057100026346,166,358.0903614457831,968.0,59443.0,Premium
30,40.67949886912013,-73.91185280554058,16,358.0,850.0,5728.0,Premium
17,40.78643964366383,-73.94906982977798,37,345.2432432432432,696.0,12774.0,Premium
23,40.728020728808005,-73.9448632165564,18,342.8333333333333,550.0,6171.0,Premium
6,40.80997057289075,-73.94685951822377,189,339.63492063492066,934.0,64191.0,Premium
2,40.73465933059379,-73.95574751064761,88,339.53409090909093,879.0,29879.0,Premium
19,40.68940182387244,-73.9772178167248,11,338.72727272727275,682.0,3726.0,Premium
35,40.67308791719641,-73.95532975407409,13,334.9230769230769,530.0,4354.0,Premium
11,40.68737651726138,-73.9713501880835,18,332.6666666666667,675.0,5988.0,Premium
10,40.68988018521815,-73.93670148422827,55,332.45454545454544,822.0,18285.0,Premium
37,40.61893316260737,-74.0326358658294,15,328.6,465.0,4929.0,Premium
36,40.7268568996504,-73.95901270314326,8,317.375,554.0,2539.0,Premium
22,40.802015185714126,-73.95549854041326,14,311.57142857142856,950.0,4362.0,Premium
16,40.68086153263676,-73.9422093226751,85,305.22352941176473,874.0,25944.0,Premium
14,40.68364830145947,-73.91775441266118,23,294.4347826086956,525.0,6772.0,Premium
4,40.693132237297604,-73.97240586471989,10,293.4,404.0,2934.0,Premium
26,40.7533488837861,-73.93556636769871,30,291.1333333333333,526.0,8734.0,Premium
29,40.679725,-73.97579250000001,4,290.0,357.0,1160.0,Premium
20,40.696231651126,-73.98446917146428,22,280.95454545454544,550.0,6181.0,Premium
18,40.684107725406776,-73.93077199422227,14,250.35714285714286,373.0,3505.0,Premium
28,40.69771342661584,-73.92886583475206,11,230.9090909090909,303.0,2540.0,Premium
34,40.70516610126897,-73.91771327163889,10,226.4,293.0,2264.0,Premium
