cluster_id,center_lat,center_lon,listing_count,avg_price,total_value
17,40.666287999999994,-73.93092299999999,10,429.5,4295
9,40.699414347826085,-73.99334217391304,23,382.3478260869565,8794
18,40.780285,-73.95978416666667,12,339.5833333333333,4075
5,40.659119090909094,-73.95975,11,336.09090909090907,3697
20,40.692947499999995,-73.92112000000002,12,334.6666666666667,4016
6,40.68410864864865,-73.9381356756757,37,333.2432432432432,12330
7,40.67078217391305,-73.94836478260869,23,327.0869565217391,7523
0,40.74824247524752,-73.9854362679655,6262,321.8457361865219,2015398
8,40.82329837209302,-73.94848790697674,43,316.4651162790698,13608
13,40.79609,-73.94837000000001,11,312.45454545454544,3437
1,40.681918190883195,-73.974731011396,702,309.83903133903135,217507
21,40.8181925,-73.94432249999998,12,307.9166666666667,3695
14,40.75857230769231,-73.93138615384616,13,303.9230769230769,3951
2,40.716680121012104,-73.9551812761276,909,294.25742574257424,267480
10,40.693371875,-73.93807125000001,16,284.625,4554
16,40.661452499999996,-73.99152916666667,12,279.9166666666667,3359
4,40.692674374999996,-73.9948846875,32,279.8125,8954
15,40.676588421052635,-73.9541394736842,19,272.10526315789474,5170
3,40.70106896551724,-73.98448310344827,29,269.6551724137931,7820
12,40.699376521739126,-73.92741391304348,23,263.8695652173913,6069
22,40.688863999999995,-73.928661,10,253.7,2537
11,40.7047625,-73.93421333333333,12,252.16666666666666,3026
19,40.684154,-73.92106,15,245.66666666666666,3685
